Date,Day,Week,Month,Campaign Name,Time,Segment,Affinity Definition,TG/CG,Affinity,Retailer,Brief,Theme,Lever,Message A,Message B,A/B,Campaign Type,Sent,Read,Read %,Clicks,CTR,Conversions,Conversion %,Push Datetime,Time Sort,Time Label,Date Label,Row Count
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_active_both_marketplace_all_1130am_flipkartfashion,11:30:00,Active,Both,,,Flipkart Fashion,,Exclusivity,Marketplace,"Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now",,No,Normal,319464,173139,0.5419671700097664,909,0.005250116958051046,5,0.005500550055005501,2026-03-13 11:30:00,1900-01-01 11:30:00,11:30 AM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_lapsed_both_marketplace_all_1130am_flipkartfashion,11:30:00,Lapsed,Both,,,Flipkart Fashion,,Exclusivity,Marketplace,"Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now","Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now",Yes,Stylised,18694,7264,0.38857387397025783,26,0.003579295154185022,0,0.0,2026-03-13 11:30:00,1900-01-01 11:30:00,11:30 AM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_inactive_both_marketplace_all_1130am_flipkartfashion,11:30:00,Inactive,Both,,,Flipkart Fashion,,Exclusivity,Marketplace,"Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now","Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now",Yes,Stylised,22253,8742,0.3928459084168427,33,0.0037748798901853123,0,0.0,2026-03-13 11:30:00,1900-01-01 11:30:00,11:30 AM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_non_segmented_both_marketplace_all_1130am_flipkartfashion,11:30:00,Non - Segmented,Both,,,Flipkart Fashion,,Exclusivity,Marketplace,"Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now","Your wrist deserves better ⌚😉

Grab watches at up to 70% OFF + 7% Cashback on Flipkart

CTA: Check now",Yes,Stylised,171625,51126,0.2978936635105608,295,0.005770058287368462,8,0.02711864406779661,2026-03-13 11:30:00,1900-01-01 11:30:00,11:30 AM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_active_1_many_d2c_sale_all_2pm_sanfe,14:00:00,Active,1-many,,,Sanfe,,Curiosity,D2C Sale,"B1G1 and Cashback? 🤯

Yes! Sanfe sale is live, Buy 1 Get 1 Free + get Flat 30% Cashback on all orders!

CTA: Shop Now","B1G1 and Cashback? 🤯

Yes! Sanfe sale is live, Buy 1 Get 1 Free + get Flat 30% Cashback on all orders!

CTA: Shop Now",Yes,Stylised,10322,61,0.005909707421042434,4,0.06557377049180328,0,0.0,2026-03-13 14:00:00,1900-01-01 14:00:00,02:00 PM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_lapsed_both_d2c_sale_all_2pm_mcaffeine,14:00:00,Lapsed,Both,,,mCaffeine,,Exclusivity,D2c Sale,"🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!","🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!",Yes,Stylised,18684,7040,0.3767929779490473,34,0.004829545454545454,1,0.029411764705882353,2026-03-13 14:00:00,1900-01-01 14:00:00,02:00 PM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_inactive_both_d2c_sale_all_2pm_mcaffeine,14:00:00,Inactive,Both,,,mCaffeine,,Exclusivity,D2c Sale,"🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!","🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!",Yes,Stylised,423660,168813,0.3984633904546098,854,0.005058852102622429,3,0.00351288056206089,2026-03-13 14:00:00,1900-01-01 14:00:00,02:00 PM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_non_segmented_both_d2c_sale_all_2pm_mcaffeine,14:00:00,Non - Segmented,Both,,,mCaffeine,,Exclusivity,D2c Sale,"🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!","🎀 Pookies like you deserve this!
Buy any 3 mCaffeine products at just ₹999 + Flat 15% Cashback 🤩
CTA: Grab now!",Yes,Stylised,171616,51206,0.2983754428491516,390,0.007616294965433738,10,0.02564102564102564,2026-03-13 14:00:00,1900-01-01 14:00:00,02:00 PM,13-Mar,1
2026-03-13,Fri,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_all_marketplace_sale_all_1030pm_ajio,22:30:00,All,Whole Base,,,Ajio,,FOMO,Marketplace Sale,"Thinking of a new outfit? 👔

Get up to 12% Cashback on men’s fashion on AJIO

CTA: Shop now","Thinking of a new outfit? 👔

Get up to 12% Cashback on men’s fashion on AJIO

CTA: Shop now",Yes,Stylised,568410,247232,0.43495364261712494,1117,0.004518023556821123,47,0.04207699194270367,2026-03-13 22:30:00,1900-01-01 22:30:00,10:30 PM,13-Mar,1
2026-03-14,Sat,Week 2,March,tgcomm_13_mar_vs_pn_tgcg_all_beautyaff_d2c_sale_all_1130am_mamaearth,11:30:00,All,Users who have visited beauty category in the last 6 months.,,Beauty - Store visitors,Mamaearth,,Curiosity,D2C Sale,"OMG! Can you believe it? 😱

Buy 1 Get 1 Free + Flat 12% Cashback on MamaEarth 🤩

CTA: Grab Now!","OMG! Can you believe it? 😱

Buy 1 Get 1 Free + Flat 12% Cashback on MamaEarth 🤩

CTA: Grab Now!",Yes,Stylised,110421,61802,0.5596942610554152,312,0.005048380311316786,70,0.22435897435897437,2026-03-14 11:30:00,1900-01-01 11:30:00,11:30 AM,14-Mar,1
